1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
95.0,422.0,2049.0,1746.0,214.0,1573.0,1095.0,2297.0,3017.0,2105.0,662.0,3141.0,2472.0,693.0,319.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,388.0,1939.0,1694.0,202.0,1482.0,1016.0,2184.0,2867.0,2001.0,621.0,2999.0,2413.0,667.0,305.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,378.0,1902.0,1671.0,197.0,1448.0,974.0,2135.0,2808.0,1970.0,608.0,2942.0,2389.0,660.0,302.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,376.0,1890.0,1666.0,196.0,1436.0,966.0,2120.0,2793.0,1958.0,605.0,2923.0,2376.0,660.0,298.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,379.0,1902.0,1670.0,197.0,1446.0,974.0,2131.0,2817.0,1972.0,607.0,2938.0,2380.0,661.0,298.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,392.0,1944.0,1685.0,201.0,1478.0,999.0,2170.0,2878.0,2014.0,618.0,2982.0,2402.0,671.0,306.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,417.0,2014.0,1724.0,208.0,1524.0,1040.0,2238.0,2979.0,2077.0,635.0,3052.0,2430.0,687.0,316.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,466.0,2199.0,1817.0,227.0,1659.0,1155.0,2420.0,3237.0,2265.0,684.0,3275.0,2525.0,735.0,345.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,526.0,2407.0,1910.0,246.0,1771.0,1236.0,2558.0,3440.0,2405.0,742.0,3512.0,2613.0,769.0,369.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,557.0,2565.0,1993.0,260.0,1925.0,1409.0,2765.0,3694.0,2598.0,782.0,3719.0,2715.0,814.0,386.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,604.0,2742.0,2106.0,273.0,2082.0,1571.0,3008.0,3964.0,2827.0,832.0,3938.0,2847.0,875.0,420.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,632.0,2827.0,2157.0,280.0,2191.0,1712.0,3193.0,4176.0,3031.0,861.0,4039.0,2908.0,919.0,442.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,631.0,2863.0,2196.0,282.0,2304.0,1850.0,3376.0,4396.0,3209.0,862.0,4131.0,2967.0,958.0,466.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,630.0,2873.0,2226.0,287.0,2434.0,1963.0,3572.0,4658.0,3369.0,862.0,4172.0,2992.0,1002.0,483.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,622.0,2857.0,2203.0,288.0,2514.0,2053.0,3722.0,4851.0,3470.0,848.0,4139.0,2983.0,1030.0,502.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,611.0,2802.0,2153.0,282.0,2540.0,2038.0,3787.0,4912.0,3493.0,837.0,4106.0,2949.0,1029.0,509.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,596.0,2712.0,2125.0,280.0,2497.0,1962.0,3707.0,4792.0,3429.0,820.0,4023.0,2899.0,1015.0,504.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,592.0,2701.0,2129.0,290.0,2444.0,1885.0,3582.0,4670.0,3339.0,822.0,4014.0,2882.0,1000.0,499.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,631.0,2834.0,2193.0,301.0,2430.0,1838.0,3533.0,4626.0,3267.0,864.0,4135.0,2931.0,986.0,491.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,642.0,2912.0,2214.0,303.0,2407.0,1779.0,3466.0,4573.0,3182.0,891.0,4195.0,2949.0,970.0,490.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0
