NodeELEC,NodeGAS,GenID,PrimeMover,Fuel,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,isRenewable,HeatRate,isNGFueled,EmissionsFactor,StartupCost,EconomicLifetime,Lifetime,StartupFuel,InstallYear,ForcedRetirement
42071,42071,PT016,Petroleum CT,Petroleum,0.05,100,100,500,0,0.8,1,1,2,1,0,10.98,0,0,0,55,55,0,0,0
42071,42071,GT016,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42071,42071,BP016,Biopower,Biomass,0.56,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
42071,42071,NC016,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42071,42071,HD016,Hydro,Hydro,6.65,100,0,500,0,1,1,1,1,1,1,0,0,0,0,100,100,0,0,0
42071,42071,WD016,Onshore wind,Wind,0.03,100,5,13,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42071,42071,SL016,Solar,Solar,0.23,50,10,174,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42043,42043,CS017,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42043,42043,CC017,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42043,42043,CT017,Natural gas CT,Natural gas,0.01,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42043,42043,GT017,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42043,42043,BP017,Biopower,Biomass,0.24,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
42043,42043,NC017,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42043,42043,WD017,Onshore wind,Wind,0,100,5,14,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42043,42043,SL017,Solar,Solar,0,50,10,142,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42067,42067,CS018,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42067,42067,CC018,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42067,42067,CT018,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42067,42067,GT018,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42067,42067,NC018,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42067,42067,WD018,Onshore wind,Wind,0,100,5,5,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42067,42067,SL018,Solar,Solar,0,50,10,142,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42027,42027,CS019,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42027,42027,CC019,Natural gas CC,Natural gas,0.01,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42027,42027,CT019,Natural gas CT,Natural gas,0.13,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42027,42027,GT019,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42027,42027,NC019,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42027,42027,WD019,Onshore wind,Wind,0.88,100,5,20,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42027,42027,SL019,Solar,Solar,0.03,50,10,545,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42035,42035,CS020,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42035,42035,CC020,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42035,42035,CT020,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42035,42035,GT020,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42035,42035,NC020,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42035,42035,WD020,Onshore wind,Wind,0,100,5,31,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42035,42035,SL020,Solar,Solar,0,50,10,405,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42063,42063,CS021,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42063,42063,CC021,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42063,42063,CT021,Natural gas CT,Natural gas,0.24,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42063,42063,CL021,Coal IGCC,Coal,5.33,600,100,500,0,0.85,1,1,7,5,0,9.2,0,0,4788,70,70,0,0,0
42063,42063,GT021,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42063,42063,NC021,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
